fipscode,varname,race_ethn,age,c_mn,se_tot,c_upr,c_lwr,county
6073,tpr,Hispanic,18,0.004958863022815341,2.4287676385432888e-4,0.005434901479969825,0.0044828245656608565,CA: San Diego
6085,first_entry,Hispanic,18,0.032909551641205806,9.242797997899504e-4,0.034721140048794105,0.031097963233617503,CA: Santa Clara
6085,first_inv,Hispanic,18,0.3839072136175784,0.002246648790618747,0.38831064524719117,0.37950378198796564,CA: Santa Clara
6085,first_victim,Hispanic,18,0.10879570925629395,0.001566349066303577,0.11186575342624897,0.10572566508633893,CA: Santa Clara
6085,tpr,Hispanic,18,0.0055119213285899915,3.832981417079863e-4,0.006263185686337645,0.004760656970842338,CA: Santa Clara
12011,first_entry,Hispanic,18,0.023226226892661225,8.333437461738568e-4,0.024859580635161985,0.021592873150160466,FL: Broward
12011,first_inv,Hispanic,18,0.27984279609150114,0.0024852997540805413,0.284713983609499,0.2749716085735033,FL: Broward
12011,first_victim,Hispanic,18,0.06276043889073618,0.0014053228034297913,0.06551487158545857,0.06000600619601379,FL: Broward
12011,tpr,Hispanic,18,0.004083057841345966,3.5337076422826106e-4,0.004775664539233358,0.0033904511434585745,FL: Broward
12086,first_entry,Hispanic,18,0.024190782666082114,5.01401299306398e-4,0.025173529212722656,0.023208036119441573,FL: Miami-Dade
12086,first_inv,Hispanic,18,0.23623278602652623,0.0013245492013764847,0.23882890246122412,0.23363666959182833,FL: Miami-Dade
12086,first_victim,Hispanic,18,0.0318822268450137,5.736249782154999e-4,0.03300653180231608,0.030757921887711318,FL: Miami-Dade
12086,tpr,Hispanic,18,0.0049032345217408235,2.2596243846118114e-4,0.005346120901124738,0.004460348142356909,FL: Miami-Dade
17031,first_entry,Hispanic,18,0.008104377343010394,2.7953149724825013e-4,0.008652259077616964,0.007556495608403824,IL: Cook
17031,first_inv,Hispanic,18,0.3432616934088234,0.0013307026320223615,0.3458698705675872,0.3406535162500596,IL: Cook
17031,first_victim,Hispanic,18,0.08274909361091226,8.360166572204025e-4,0.08438768625906425,0.08111050096276028,IL: Cook
17031,tpr,Hispanic,18,6.126707783296464e-4,7.778780098947041e-5,7.651348682690084e-4,4.6020668839028445e-4,IL: Cook
25017,first_entry,Hispanic,18,0.0861255928634754,0.0029786245904279023,0.0919636970607141,0.08028748866623671,MA: Middlesex
25017,first_inv,Hispanic,18,0.45149514969772314,0.006123126132104013,0.463496476916647,0.43949382247879926,MA: Middlesex
25017,first_victim,Hispanic,18,0.24329040654852224,0.0045349101961363394,0.2521788305329495,0.23440198256409503,MA: Middlesex
25017,tpr,Hispanic,18,0.004835379182367497,6.973428549607064e-4,0.006202171178090481,0.0034685871866445123,MA: Middlesex
26163,first_entry,Hispanic,18,0.02536776594463333,0.001720160826251738,0.028739281164086736,0.021996250725179925,MI: Wayne
26163,first_inv,Hispanic,18,0.31208105594240104,0.005213919895412078,0.3223003389374087,0.30186177294739336,MI: Wayne
26163,first_victim,Hispanic,18,0.10606887033356183,0.0035977257233625972,0.11312041275135251,0.09901732791577114,MI: Wayne
26163,tpr,Hispanic,18,0.006553516814387275,8.753399217044762e-4,0.008269183060928048,0.004837850567846502,MI: Wayne
32003,first_entry,Hispanic,18,0.041371786229343094,8.710665928075076e-4,0.04307907675124581,0.03966449570744038,NV: Clark
32003,first_inv,Hispanic,18,0.30180834391240186,0.0020143698655299587,0.3057565088488406,0.2978601789759631,NV: Clark
32003,first_victim,Hispanic,18,0.053383668099051054,9.972319337552657e-4,0.05533824268921138,0.05142909350889073,NV: Clark
32003,tpr,Hispanic,18,0.007009511182175396,3.663408796149689e-4,0.007727539306220735,0.006291483058130057,NV: Clark
36061,first_entry,Hispanic,18,0.01855997617415725,4.0823530266781877e-4,0.019360117367386173,0.017759834980928327,NY: New York
36061,first_inv,Hispanic,18,0.4271874348188527,0.0012652163725752237,0.4296672589091001,0.42470761072860524,NY: New York
36061,first_victim,Hispanic,18,0.19762296085133954,0.0011117863552712688,0.19980206210767124,0.19544385959500785,NY: New York
36061,tpr,Hispanic,18,8.785158229228929e-4,8.812917360605978e-5,0.00105124900319077,7.057826426550156e-4,NY: New York
48029,first_entry,Hispanic,18,0.06828183320402308,8.384164043997146e-4,0.06992512935664652,0.06663853705139963,TX: Bexar
48029,first_inv,Hispanic,18,0.37778014282877703,0.0014897693840817308,0.38070009082157724,0.3748601948359768,TX: Bexar
48029,first_victim,Hispanic,18,0.13623363384241216,0.0011243955042443718,0.13843744903073113,0.1340298186540932,TX: Bexar
48029,tpr,Hispanic,18,0.02889708343871883,5.623353589467456e-4,0.029999260742254452,0.027794906135183206,TX: Bexar
48113,first_entry,Hispanic,18,0.02618975250855407,5.147590165733631e-4,0.02719868018103786,0.02518082483607028,TX: Dallas
48113,first_inv,Hispanic,18,0.29042463626737847,0.0013811358103135675,0.2931316624555931,0.28771761007916385,TX: Dallas
48113,first_victim,Hispanic,18,0.08318570627524448,8.776011831916749e-4,0.08490580459430017,0.08146560795618879,TX: Dallas
48113,tpr,Hispanic,18,0.004427604503382129,2.1380941666074543e-4,0.00484667096003719,0.004008538046727068,TX: Dallas
48201,first_entry,Hispanic,18,0.01335382732470694,2.794740127122865e-4,0.013901596389623022,0.01280605825979086,TX: Harris
48201,first_inv,Hispanic,18,0.259295815947066,9.993267079746698e-4,0.2612544962946964,0.25733713559943566,TX: Harris
